,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
2937,4f5f6b8ae4b0697e3665046d,McDonald's,Oshiwara,West,19.15146449910739,72.83420134137043,19.1502437,72.83422940000001,135.6934112844796
2326,507e6f8ce4b0d2368f679027,Subway,Saki Naka,East,19.107060090108977,72.88398436384118,19.1082208,72.88358240000001,135.71415689092544
2280,503bc368e4b0824d0c494fe2,Melting Pot JVPD,Juhu,West,19.108218265342146,72.82726881385571,19.1070215,72.8275275,135.7362775649004
2205,5149d32ce4b02e6548d5cce1,Kali Bhaji,Vile Parle (West),West,19.102823026856715,72.83960190380834,19.1038725,72.84029029999999,137.20806382292227
1771,55772435498e07f47ef4a502,"Café Coffee Day, Tilak Nagar",Tilak Nagar,East,19.068491833949594,72.89889632267005,19.0692377,72.8978464,137.947180079423
2801,4dd01267183899ddfafc0a1c,Zodiac Family Restaurant,Poonam Nagar,West,19.137705249859515,72.87016347227458,19.136917800000003,72.869128,139.55144412790807
2622,5465ba3e498e343fe4ec0a4c,Domino's Pizza,SEEPZ,West,19.126,72.874,19.125355600000002,72.8751701719707,142.20371008102893
1423,4b0587d9f964a52014a422e3,Mahabhoj,Matunga,West,19.027047339233498,72.8514411790207,19.027435600000004,72.85014670000001,142.67005844360375
3346,4f8b31e4e4b0183207739818,Anna's Dosa,Kandivli (East),North,19.208957,72.8631112,19.2080542,72.8621435,142.74821515350536
569,500afb66e4b03bf18fb4707f,Bade Miya (only for Ramzan),Mandvi,South,18.954704668229663,72.83346856352783,18.9550564,72.83479190000001,144.4696136098425
2467,55463c55498ef91e86b51620,Mirchi And Mime,Powai,East,19.120019581790373,72.90744773182578,19.1187195,72.9073476,144.85376599099106
251,4cfe22077f2db1f745873bd4,Food for Thought,Hutatma Chowk,South,18.932030548104755,72.83166719005116,18.933307,72.831377,145.08849504513964
1353,4eb8d529f790d87d04282b96,Apoorva Pure-Veg Restaurant,Bhavanishankar Road,South,19.023211694291412,72.83657852676579,19.022237,72.8356574,145.2453464806009
73,4dc4ac737d8b14fb4617cb03,Café Marina,Henry Road,South,18.91906672846827,72.83202532778965,18.9203617,72.8318368,145.26212882198823
1396,4d60f98fe4fe5481d785869e,Gupta Chat Centre,Matunga,West,19.027062704089776,72.85148075408065,19.027435600000004,72.85014670000001,146.14501218529705
2929,4be2e88521d5a593a3981711,Costa Coffee,Oshiwara,West,19.151563444707207,72.83414608350766,19.1502437,72.83422940000001,146.91734629898752
2217,4d569cd3143ca093805fbdfc,Maruti pav bhaji,Vile Parle (West),West,19.102718295782143,72.83959437104103,19.1038725,72.84029029999999,147.6179364875086
1286,4e2bdbcad4c0e5c89ac94a04,Adarsh Pure Veg. Restaurant,Dadar,South,19.020090243437263,72.84175872802734,19.019282,72.8428757,147.77459713545161
1405,4f1acabbe4b0850c837acabf,Cafe Coffee Day,Matunga,West,19.02705371566301,72.85150004004392,19.027435600000004,72.85014670000001,148.37163460532082
3224,4efc110ce300d0dc3068037c,Mothers bakery,Malad (West),North,19.18528967162463,72.84165016272567,19.1840129,72.8412155,149.0351141387262
1342,51370f40e4b03619c01924e9,Cafe Coffee Day,Bhavanishankar Road,South,19.023229787832104,72.8366282572742,19.022237,72.8356574,150.24733678169315
1406,4c8b410852a98cfad87834e9,Shree Sunders,Matunga,West,19.02704229712819,72.85151578443184,19.027435600000004,72.85014670000001,150.32130673295362
538,4ec267a293ad36d7aa365881,Panshikar,Girgaon,South,18.955125830404533,72.81905489544816,18.9543165,72.8179082,150.37621082547292
1836,5428ebf0498e5abfe755c9be,Me So Happi,Khar,West,19.07112649646926,72.83398039648264,19.072457500000002,72.8337068,150.67325279306417
1422,4ed5c9b90aaf6cc6c902828f,Miss U Donuts & Coffee,Matunga,West,19.027045785565342,72.85152684120547,19.027435600000004,72.85014670000001,151.32162902004134
51,4c029056f56c2d7f28901b66,Piccadilly,Henry Road,South,18.921425293487804,72.83093565394984,18.9203617,72.8318368,151.46927437514398
562,4beed6d42c082d7fe1f43042,Noorani Milk Centre,Mandvi,South,18.95474881770388,72.83338201479789,18.9550564,72.83479190000001,152.06901654048983
1545,4bc085064cdfc9b6a5ee9221,Chembur Post Office Wada Pav,Chembur West,East,19.05692,72.897953,19.0571098,72.8993875,152.1414935638425
3545,4ef21e15775bf265c398c877,Bread City,Mount Poinsur,North,19.244218826293945,72.85176086425781,19.2432246,72.8527611,152.37836531049354
2800,505347c8e4b0e7ceb5e7d4da,Lom Chings,Poonam Nagar,West,19.13602815778573,72.8702547454467,19.136917800000003,72.869128,154.16322279332104
2275,51d46d59498ebc0221443cef,Jantar mantar,Juhu,West,19.10733002681953,72.82608296316852,19.1070215,72.8275275,155.50724002894788
3543,4e21860d814d32181a6def0b,Monginis,Mount Poinsur,North,19.24445517919134,72.85205274384785,19.2432246,72.8527611,155.63812945321897
